Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	57	67	73	42	57	21	
		Student 1	65	16	63	28	84	10	
		Student 2	65	96	93	21	22	81	
		Student 3	22	16	77	16	94	67	
		Student 4	39	82	94	25	76	43	
		Student 5	10	47	51	91	88	43	
		Student 6	79	60	55	27	67	81	
		Student 7	12	26	45	76	23	34	
		Student 8	58	74	96	93	83	15	
		Student 9	36	35	43	98	81	22	
		Student 10	84	69	34	29	51	26	
		Student 11	29	98	57	77	72	30	
		Student 12	49	89	86	34	13	14	
		Student 13	42	33	36	71	55	58	
		Student 14	15	36	84	83	21	39	
		Student 15	42	77	35	27	23	26	
		Student 16	12	59	36	68	94	16	
		Student 17	14	31	49	82	18	44	
		Student 18	60	89	17	43	45	73	
		Student 19	85	55	73	36	92	15	
		Student 20	71	74	65	47	85	89	
		Student 21	62	42	30	40	10	29	
		Student 22	61	65	89	62	99	13	
		Student 23	58	88	62	28	71	75	
		Student 24	87	86	31	64	93	24	
		Student 25	66	37	82	16	89	54	
		Student 26	70	82	47	53	97	27	
		Student 27	84	17	64	53	23	74	
		Student 28	79	89	39	73	63	43	
		Student 29	20	19	96	81	88	25	
		Student 30	81	11	52	81	70	45	
		Student 31	73	95	88	72	31	76	
		Student 32	19	79	40	12	87	19	
		Student 33	51	94	41	75	59	66	
		Student 34	25	27	23	67	67	44	
		Student 35	25	88	65	17	53	41	
		Student 36	32	83	38	45	91	85	
		Student 37	40	86	31	84	29	85	
		Student 38	36	12	72	97	87	85	
		Student 39	45	15	79	90	99	84	
		Student 40	38	61	80	99	92	24	
		Student 41	86	14	17	81	57	54	
		Student 42	92	93	11	72	66	38	
		Student 43	71	80	48	12	31	22	
		Student 44	85	37	38	47	99	24	
		Student 45	19	98	69	60	53	21	
		Student 46	96	91	23	50	60	92	
		Student 47	26	52	94	91	85	97	
		Student 48	79	51	45	20	11	75	
		Student 49	22	15	63	44	10	48	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	90	82	61	28	50	32	
		Student 1	57	77	62	79	48	23	
		Student 2	53	49	27	56	78	77	
		Student 3	25	58	37	62	52	20	
		Student 4	44	62	95	52	24	46	
		Student 5	84	19	64	86	48	29	
		Student 6	79	18	65	60	24	30	
		Student 7	54	29	67	61	22	33	
		Student 8	36	51	48	86	10	46	
		Student 9	85	30	23	16	17	86	
		Student 10	54	58	80	89	40	64	
		Student 11	23	37	47	56	31	75	
		Student 12	10	30	39	17	55	42	
		Student 13	56	38	85	69	49	37	
		Student 14	72	56	13	49	24	88	
		Student 15	34	26	13	24	79	74	
		Student 16	90	98	82	19	12	28	
		Student 17	89	62	88	91	15	74	
		Student 18	33	11	68	64	56	93	
		Student 19	79	27	94	66	71	45	
		Student 20	56	30	55	98	82	98	
		Student 21	34	50	60	63	50	34	
		Student 22	26	47	42	60	66	34	
		Student 23	25	42	64	99	38	52	
		Student 24	28	48	28	89	73	57	
		Student 25	16	60	13	25	83	10	
		Student 26	86	47	34	14	34	57	
		Student 27	42	58	34	92	72	60	
		Student 28	58	66	63	48	74	30	
		Student 29	69	43	83	87	95	26	
		Student 30	78	75	73	81	18	22	
		Student 31	11	19	23	80	96	82	
		Student 32	38	93	20	51	39	37	
		Student 33	87	77	31	19	27	80	
		Student 34	19	71	83	79	65	13	
		Student 35	15	65	75	73	79	84	
		Student 36	12	12	99	19	97	26	
		Student 37	48	57	65	56	47	18	
		Student 38	59	23	11	11	64	61	
		Student 39	99	26	71	36	76	78	
		Student 40	23	65	20	72	60	83	
		Student 41	56	12	24	34	15	67	
		Student 42	38	71	80	21	11	49	
		Student 43	90	51	33	20	95	45	
		Student 44	16	33	15	62	32	35	
		Student 45	11	78	59	81	21	88	
		Student 46	75	76	32	88	36	41	
		Student 47	18	46	97	54	44	45	
		Student 48	26	87	54	22	69	98	
		Student 49	69	65	90	35	36	62	
Program 2
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	11	50	14	43	18	
		Student 1	22	96	21	48	83	40	
		Student 2	34	37	71	95	84	66	
		Student 3	81	40	27	22	63	60	
		Student 4	70	69	63	11	85	86	
		Student 5	83	39	53	18	13	67	
		Student 6	35	80	15	43	60	33	
		Student 7	57	19	49	82	94	89	
		Student 8	31	98	33	16	29	68	
		Student 9	77	38	76	99	63	58	
		Student 10	31	50	29	99	61	15	
		Student 11	47	95	78	94	23	96	
		Student 12	74	27	80	62	82	76	
		Student 13	54	24	47	33	64	74	
		Student 14	19	20	57	41	68	63	
		Student 15	97	70	31	10	74	57	
		Student 16	43	33	83	36	53	95	
		Student 17	81	81	82	18	21	80	
		Student 18	37	13	40	89	83	64	
		Student 19	27	91	70	53	19	51	
		Student 20	64	87	33	17	72	12	
		Student 21	67	78	78	25	32	88	
		Student 22	55	64	32	25	35	50	
		Student 23	40	13	77	48	25	37	
		Student 24	44	80	48	19	15	59	
		Student 25	50	71	73	71	34	51	
		Student 26	52	60	99	24	75	43	
		Student 27	27	64	22	88	77	70	
		Student 28	81	66	33	83	33	17	
		Student 29	67	25	98	12	39	69	
		Student 30	23	75	34	23	37	39	
		Student 31	42	21	25	95	62	49	
		Student 32	89	19	81	25	80	22	
		Student 33	28	47	78	29	27	28	
		Student 34	21	52	76	76	86	79	
		Student 35	43	80	85	26	13	17	
		Student 36	98	79	59	40	60	74	
		Student 37	62	86	84	73	53	99	
		Student 38	85	97	43	62	65	49	
		Student 39	83	61	31	28	38	10	
		Student 40	50	43	36	37	78	55	
		Student 41	79	59	65	39	88	30	
		Student 42	24	99	52	57	44	96	
		Student 43	96	20	48	10	53	90	
		Student 44	69	95	35	63	66	96	
		Student 45	44	50	91	75	81	34	
		Student 46	21	45	47	51	20	87	
		Student 47	36	74	56	34	92	95	
		Student 48	51	14	77	87	96	78	
		Student 49	55	82	64	53	29	37	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	46	21	75	54	45	50	
		Student 1	14	75	43	98	15	65	
		Student 2	78	69	22	14	18	14	
		Student 3	18	29	98	26	11	72	
		Student 4	27	86	19	52	81	15	
		Student 5	27	39	30	14	23	25	
		Student 6	78	97	63	97	83	27	
		Student 7	63	32	78	90	85	35	
		Student 8	46	76	49	25	76	86	
		Student 9	49	90	26	58	71	63	
		Student 10	42	61	50	70	23	68	
		Student 11	77	56	87	69	58	10	
		Student 12	95	23	61	89	20	35	
		Student 13	71	69	65	16	12	34	
		Student 14	62	20	78	14	57	15	
		Student 15	42	51	99	60	41	54	
		Student 16	81	38	31	49	47	47	
		Student 17	90	53	17	58	37	64	
		Student 18	69	39	11	81	33	45	
		Student 19	84	92	41	33	75	99	
		Student 20	93	64	53	62	60	82	
		Student 21	22	59	91	44	19	68	
		Student 22	48	68	42	22	49	23	
		Student 23	99	65	26	80	63	19	
		Student 24	92	64	40	49	47	29	
		Student 25	52	24	36	88	93	81	
		Student 26	41	56	87	11	95	87	
		Student 27	47	24	84	89	77	78	
		Student 28	92	36	16	60	17	19	
		Student 29	18	99	20	23	32	40	
		Student 30	17	34	50	87	13	70	
		Student 31	93	72	57	44	35	57	
		Student 32	99	65	83	79	87	67	
		Student 33	40	29	64	95	37	36	
		Student 34	53	26	52	53	31	64	
		Student 35	72	40	90	15	53	43	
		Student 36	59	82	16	34	57	11	
		Student 37	17	34	46	20	70	37	
		Student 38	64	12	58	40	46	75	
		Student 39	73	24	85	77	19	68	
		Student 40	93	44	60	58	60	39	
		Student 41	21	40	77	99	24	74	
		Student 42	50	51	15	89	46	73	
		Student 43	69	60	46	79	96	80	
		Student 44	32	60	56	27	61	88	
		Student 45	12	11	99	77	42	10	
		Student 46	72	66	35	45	48	35	
		Student 47	13	82	24	72	24	41	
		Student 48	82	12	23	60	73	21	
		Student 49	14	42	39	16	20	88	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	45	87	74	64	50	45	
		Student 1	11	10	42	82	79	20	
		Student 2	28	89	82	78	69	31	
		Student 3	12	70	36	81	19	73	
		Student 4	77	70	33	20	29	36	
		Student 5	67	58	89	63	88	52	
		Student 6	22	46	70	82	29	62	
		Student 7	39	53	64	20	29	35	
		Student 8	22	96	77	94	91	48	
		Student 9	45	30	56	71	78	14	
		Student 10	72	97	12	25	48	92	
		Student 11	16	66	95	27	63	30	
		Student 12	40	19	90	95	50	61	
		Student 13	26	75	28	34	50	15	
		Student 14	25	75	61	16	15	84	
		Student 15	56	74	36	84	17	44	
		Student 16	17	13	27	89	44	73	
		Student 17	77	87	69	37	92	48	
		Student 18	90	97	38	80	49	96	
		Student 19	85	25	87	17	42	50	
		Student 20	70	64	95	56	40	69	
		Student 21	12	46	99	39	75	55	
		Student 22	10	31	58	27	38	89	
		Student 23	44	15	79	37	67	79	
		Student 24	23	89	35	10	85	46	
		Student 25	75	92	54	70	94	93	
		Student 26	74	36	43	72	55	29	
		Student 27	97	24	80	75	83	19	
		Student 28	20	44	38	24	57	71	
		Student 29	64	51	22	76	59	40	
		Student 30	89	25	42	59	91	96	
		Student 31	62	91	60	47	58	95	
		Student 32	53	21	59	47	27	39	
		Student 33	39	80	59	75	43	65	
		Student 34	84	58	79	39	80	18	
		Student 35	69	85	74	98	85	55	
		Student 36	43	97	40	93	51	93	
		Student 37	81	60	50	68	36	55	
		Student 38	71	20	80	46	76	27	
		Student 39	32	70	70	81	73	84	
		Student 40	42	68	61	27	23	88	
		Student 41	76	23	76	22	66	20	
		Student 42	51	40	21	36	68	55	
		Student 43	69	43	60	60	94	44	
		Student 44	68	84	26	67	72	38	
		Student 45	82	75	73	19	24	51	
		Student 46	12	79	99	46	27	62	
		Student 47	94	93	22	50	83	11	
		Student 48	11	32	49	31	58	31	
		Student 49	99	86	51	82	47	73	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	62	22	57	56	72	59	
		Student 1	72	91	97	45	53	71	
		Student 2	15	53	72	19	17	74	
		Student 3	47	77	78	17	23	83	
		Student 4	83	71	13	36	48	19	
		Student 5	83	21	27	12	11	81	
		Student 6	83	39	12	71	42	63	
		Student 7	95	48	89	16	61	38	
		Student 8	14	39	55	95	60	45	
		Student 9	21	15	94	70	56	94	
		Student 10	54	42	13	44	79	41	
		Student 11	81	16	99	83	51	83	
		Student 12	27	88	81	49	37	64	
		Student 13	83	60	11	60	14	54	
		Student 14	71	99	85	46	80	40	
		Student 15	95	62	94	83	43	30	
		Student 16	52	67	45	55	23	75	
		Student 17	93	57	44	24	38	19	
		Student 18	72	80	26	65	95	26	
		Student 19	75	95	46	30	24	74	
		Student 20	32	83	99	76	14	23	
		Student 21	24	28	35	74	28	87	
		Student 22	25	27	80	26	13	93	
		Student 23	88	86	47	73	34	15	
		Student 24	67	22	18	27	53	85	
		Student 25	29	19	20	41	13	97	
		Student 26	77	26	84	25	63	22	
		Student 27	75	23	45	30	68	63	
		Student 28	37	85	13	20	62	52	
		Student 29	29	11	58	99	82	54	
		Student 30	87	18	25	88	82	72	
		Student 31	67	53	80	94	88	99	
		Student 32	97	76	15	61	79	99	
		Student 33	27	17	42	99	10	57	
		Student 34	41	95	89	32	38	33	
		Student 35	70	79	19	92	42	60	
		Student 36	13	84	62	58	91	33	
		Student 37	87	20	40	80	48	15	
		Student 38	22	43	40	78	28	35	
		Student 39	75	29	12	67	22	91	
		Student 40	41	35	40	26	12	91	
		Student 41	63	60	56	76	74	20	
		Student 42	92	39	54	68	90	15	
		Student 43	76	29	52	42	31	92	
		Student 44	75	62	19	61	37	80	
		Student 45	81	93	89	74	38	48	
		Student 46	87	66	65	38	72	53	
		Student 47	58	57	44	64	12	65	
		Student 48	50	37	76	86	19	33	
		Student 49	20	33	73	30	92	78	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	37	72	30	22	86	63	
		Student 1	66	42	85	37	82	91	
		Student 2	68	79	56	40	82	14	
		Student 3	97	17	17	49	88	75	
		Student 4	14	51	65	73	31	50	
		Student 5	44	83	33	99	35	57	
		Student 6	56	92	32	30	76	67	
		Student 7	27	89	92	80	57	25	
		Student 8	22	87	91	96	88	10	
		Student 9	86	71	95	86	14	81	
		Student 10	59	87	34	75	10	77	
		Student 11	10	68	63	56	29	50	
		Student 12	75	91	27	17	70	96	
		Student 13	22	95	74	40	16	66	
		Student 14	20	73	30	30	96	85	
		Student 15	90	65	37	48	66	83	
		Student 16	92	77	80	78	40	35	
		Student 17	21	64	41	59	83	98	
		Student 18	37	25	91	66	43	99	
		Student 19	77	79	91	82	66	34	
		Student 20	34	73	20	32	27	44	
		Student 21	30	28	24	11	70	17	
		Student 22	73	30	87	83	39	42	
		Student 23	18	73	58	82	78	51	
		Student 24	32	13	39	20	42	64	
		Student 25	73	33	40	52	44	90	
		Student 26	14	40	42	68	21	85	
		Student 27	84	73	90	72	20	85	
		Student 28	37	92	14	21	36	51	
		Student 29	11	46	98	17	18	72	
		Student 30	21	50	14	70	23	17	
		Student 31	10	18	97	50	92	54	
		Student 32	12	79	78	59	35	50	
		Student 33	94	89	11	77	92	54	
		Student 34	53	15	39	58	67	13	
		Student 35	28	79	30	20	65	62	
		Student 36	30	26	52	99	30	86	
		Student 37	33	10	61	54	84	91	
		Student 38	16	39	98	27	11	29	
		Student 39	78	35	74	68	99	68	
		Student 40	75	52	98	80	13	22	
		Student 41	18	76	15	28	92	38	
		Student 42	24	11	84	15	76	90	
		Student 43	38	70	15	28	97	79	
		Student 44	76	53	13	68	89	75	
		Student 45	76	88	10	39	82	71	
		Student 46	66	25	10	28	94	23	
		Student 47	50	48	53	68	65	86	
		Student 48	48	85	59	35	47	10	
		Student 49	73	68	90	82	26	40	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	84	79	71	62	33	64	
		Student 1	81	32	44	39	45	95	
		Student 2	96	55	60	71	36	95	
		Student 3	15	97	75	78	13	33	
		Student 4	35	50	67	87	72	90	
		Student 5	44	93	38	23	46	58	
		Student 6	21	91	23	53	93	89	
		Student 7	32	80	52	91	87	38	
		Student 8	65	73	45	43	66	94	
		Student 9	93	74	39	79	80	23	
		Student 10	85	91	94	51	98	56	
		Student 11	62	60	92	79	51	97	
		Student 12	99	12	71	42	62	89	
		Student 13	55	46	46	11	75	19	
		Student 14	60	31	29	40	94	31	
		Student 15	62	57	78	21	29	88	
		Student 16	90	44	80	22	27	52	
		Student 17	86	48	31	98	89	70	
		Student 18	20	39	12	27	86	18	
		Student 19	40	60	99	78	24	38	
		Student 20	64	24	51	90	49	31	
		Student 21	15	59	18	80	80	95	
		Student 22	19	19	15	41	76	87	
		Student 23	21	42	16	80	13	64	
		Student 24	79	32	69	63	41	18	
		Student 25	18	99	57	72	28	35	
		Student 26	34	65	25	56	54	74	
		Student 27	69	25	37	66	97	69	
		Student 28	54	39	86	67	96	52	
		Student 29	90	46	41	30	55	74	
		Student 30	93	66	68	20	59	48	
		Student 31	58	63	28	13	40	15	
		Student 32	74	91	73	15	69	98	
		Student 33	56	76	64	65	36	19	
		Student 34	43	40	57	91	40	42	
		Student 35	20	31	12	74	79	56	
		Student 36	63	62	97	37	70	29	
		Student 37	43	36	92	79	15	13	
		Student 38	11	86	32	45	86	20	
		Student 39	40	21	86	45	36	41	
		Student 40	60	60	11	84	80	75	
		Student 41	38	46	52	30	76	81	
		Student 42	45	74	45	42	24	55	
		Student 43	76	35	71	93	43	89	
		Student 44	11	33	64	13	68	21	
		Student 45	44	38	98	68	69	64	
		Student 46	20	83	36	86	94	25	
		Student 47	66	86	83	48	19	19	
		Student 48	88	78	37	46	75	40	
		Student 49	36	19	39	69	32	93	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	88	31	81	38	97	49	
		Student 1	59	45	88	76	83	89	
		Student 2	68	49	97	86	66	36	
		Student 3	55	14	16	22	47	79	
		Student 4	74	85	39	14	56	27	
		Student 5	41	88	73	60	58	96	
		Student 6	39	14	91	36	89	10	
		Student 7	35	15	91	99	27	49	
		Student 8	43	28	56	78	66	85	
		Student 9	81	34	77	51	68	98	
		Student 10	25	99	35	97	78	96	
		Student 11	99	68	59	20	60	14	
		Student 12	18	71	44	46	87	71	
		Student 13	61	41	56	74	98	53	
		Student 14	92	94	28	11	68	21	
		Student 15	79	12	55	60	65	40	
		Student 16	28	86	84	94	94	57	
		Student 17	87	13	38	22	81	76	
		Student 18	77	62	51	62	14	84	
		Student 19	51	82	23	72	82	58	
		Student 20	74	86	11	62	24	87	
		Student 21	92	63	48	36	89	43	
		Student 22	52	13	32	65	79	13	
		Student 23	72	59	90	73	21	73	
		Student 24	79	26	25	23	35	37	
		Student 25	62	86	57	37	55	60	
		Student 26	79	75	76	95	35	39	
		Student 27	55	42	48	64	37	77	
		Student 28	66	93	93	25	51	16	
		Student 29	95	93	21	42	67	41	
		Student 30	26	60	77	44	93	45	
		Student 31	46	60	87	50	37	84	
		Student 32	82	41	75	30	91	63	
		Student 33	17	78	15	73	99	97	
		Student 34	20	88	69	21	37	48	
		Student 35	38	21	27	84	43	26	
		Student 36	29	78	17	27	23	32	
		Student 37	56	95	17	99	51	58	
		Student 38	55	15	25	74	41	90	
		Student 39	59	69	31	11	20	95	
		Student 40	71	10	38	40	48	29	
		Student 41	96	33	42	91	23	19	
		Student 42	48	30	47	97	49	79	
		Student 43	85	88	47	57	34	45	
		Student 44	94	29	74	82	79	88	
		Student 45	48	59	13	57	65	63	
		Student 46	97	81	57	48	29	31	
		Student 47	53	75	85	74	39	63	
		Student 48	19	45	14	52	12	96	
		Student 49	87	82	14	39	32	52	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	87	20	28	47	35	70	
		Student 1	15	30	59	63	16	47	
		Student 2	96	89	68	25	82	41	
		Student 3	14	52	21	70	83	17	
		Student 4	38	31	51	23	29	38	
		Student 5	54	30	41	82	63	52	
		Student 6	36	85	80	22	87	39	
		Student 7	20	18	59	83	15	83	
		Student 8	83	85	92	86	44	49	
		Student 9	41	65	62	31	92	29	
		Student 10	95	60	90	79	13	51	
		Student 11	87	22	75	81	86	29	
		Student 12	65	61	93	63	76	72	
		Student 13	61	76	90	88	20	66	
		Student 14	16	80	92	90	18	97	
		Student 15	95	66	80	75	48	51	
		Student 16	48	47	19	59	40	46	
		Student 17	66	19	52	66	26	59	
		Student 18	27	35	43	97	17	31	
		Student 19	59	23	82	57	77	82	
		Student 20	66	47	52	11	98	84	
		Student 21	92	82	33	76	30	98	
		Student 22	53	37	10	11	78	11	
		Student 23	19	40	17	21	16	27	
		Student 24	11	80	88	80	77	50	
		Student 25	41	25	49	18	40	56	
		Student 26	69	11	50	67	17	46	
		Student 27	83	82	75	17	77	81	
		Student 28	59	59	93	78	85	46	
		Student 29	65	64	86	31	12	98	
		Student 30	75	15	32	46	11	36	
		Student 31	89	41	92	42	23	82	
		Student 32	64	79	29	78	20	27	
		Student 33	19	79	15	23	85	56	
		Student 34	48	93	76	33	40	87	
		Student 35	81	12	78	97	59	85	
		Student 36	34	31	27	81	45	76	
		Student 37	94	33	75	94	12	43	
		Student 38	94	53	52	90	51	22	
		Student 39	20	92	30	39	73	12	
		Student 40	19	77	76	77	95	46	
		Student 41	68	51	14	34	83	25	
		Student 42	22	21	88	56	34	47	
		Student 43	56	60	74	42	84	19	
		Student 44	34	77	22	64	81	97	
		Student 45	66	72	15	45	39	97	
		Student 46	76	45	37	20	92	67	
		Student 47	34	82	17	79	21	19	
		Student 48	30	88	86	48	34	44	
		Student 49	84	81	58	97	69	13	
Program 3
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	52	24	53	15	79	14	
		Student 1	92	18	61	27	58	63	
		Student 2	86	48	43	88	71	72	
		Student 3	90	54	14	94	43	31	
		Student 4	76	48	13	64	12	86	
		Student 5	60	42	57	61	99	56	
		Student 6	65	45	34	71	65	75	
		Student 7	53	66	75	87	41	61	
		Student 8	40	73	17	77	59	11	
		Student 9	38	73	79	68	30	60	
		Student 10	63	73	57	98	10	19	
		Student 11	86	33	78	27	29	11	
		Student 12	43	73	38	89	62	78	
		Student 13	11	36	93	77	15	17	
		Student 14	50	45	92	89	31	93	
		Student 15	98	81	71	69	38	75	
		Student 16	11	38	36	15	19	83	
		Student 17	21	48	90	78	34	64	
		Student 18	66	53	85	62	60	50	
		Student 19	33	51	22	53	36	81	
		Student 20	93	76	71	37	72	84	
		Student 21	57	56	61	67	39	44	
		Student 22	87	68	72	48	16	72	
		Student 23	89	16	98	13	94	66	
		Student 24	77	80	27	86	34	17	
		Student 25	46	57	51	13	72	40	
		Student 26	22	99	36	47	63	61	
		Student 27	23	95	34	47	34	69	
		Student 28	44	29	46	40	55	65	
		Student 29	67	77	62	57	56	96	
		Student 30	16	10	16	33	59	74	
		Student 31	67	43	58	52	58	36	
		Student 32	53	38	91	34	92	36	
		Student 33	87	75	95	61	74	39	
		Student 34	89	51	83	74	42	90	
		Student 35	84	47	58	96	68	75	
		Student 36	82	43	89	72	44	82	
		Student 37	45	78	96	24	56	30	
		Student 38	14	12	80	16	10	22	
		Student 39	73	70	85	44	53	27	
		Student 40	46	59	70	44	10	96	
		Student 41	25	19	42	87	67	41	
		Student 42	17	58	50	82	91	89	
		Student 43	19	38	96	43	72	33	
		Student 44	68	83	29	54	35	64	
		Student 45	73	32	82	49	40	81	
		Student 46	30	76	94	29	63	97	
		Student 47	56	31	34	22	14	17	
		Student 48	46	47	30	49	99	29	
		Student 49	89	77	47	60	96	57	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	79	35	27	64	88	31	
		Student 1	35	18	50	52	12	82	
		Student 2	75	86	71	41	37	86	
		Student 3	92	96	54	52	79	21	
		Student 4	31	16	17	87	58	90	
		Student 5	20	92	11	72	10	25	
		Student 6	89	77	16	22	95	37	
		Student 7	90	87	15	92	73	83	
		Student 8	65	51	61	74	41	82	
		Student 9	92	64	65	39	54	97	
		Student 10	39	23	46	57	45	22	
		Student 11	77	85	22	12	89	10	
		Student 12	62	79	98	48	65	34	
		Student 13	34	45	43	38	49	26	
		Student 14	46	49	80	32	65	84	
		Student 15	88	64	33	95	93	63	
		Student 16	18	61	36	81	11	72	
		Student 17	68	29	10	22	92	36	
		Student 18	75	86	12	64	56	18	
		Student 19	84	53	74	69	29	56	
		Student 20	81	25	56	32	45	42	
		Student 21	42	35	19	65	19	69	
		Student 22	60	55	32	26	98	74	
		Student 23	91	33	20	52	55	45	
		Student 24	93	34	50	25	72	37	
		Student 25	49	68	50	16	14	36	
		Student 26	29	68	34	78	21	29	
		Student 27	88	71	10	82	83	27	
		Student 28	24	23	67	35	20	26	
		Student 29	95	49	30	37	46	85	
		Student 30	45	87	37	46	38	20	
		Student 31	85	94	94	85	48	63	
		Student 32	48	76	71	29	35	75	
		Student 33	37	25	58	15	34	73	
		Student 34	52	21	66	98	43	46	
		Student 35	12	47	23	91	32	32	
		Student 36	32	93	63	70	23	16	
		Student 37	92	77	80	93	56	73	
		Student 38	59	64	48	96	91	56	
		Student 39	62	64	98	66	96	67	
		Student 40	65	92	94	31	12	37	
		Student 41	27	51	80	36	82	21	
		Student 42	78	17	88	14	19	74	
		Student 43	15	67	68	35	36	51	
		Student 44	19	42	53	15	92	97	
		Student 45	76	22	16	24	61	42	
		Student 46	97	85	11	45	10	31	
		Student 47	63	72	23	15	60	68	
		Student 48	91	16	65	13	72	92	
		Student 49	59	98	26	77	15	65	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	24	85	83	80	17	35	
		Student 1	89	72	14	48	94	51	
		Student 2	44	83	16	67	34	91	
		Student 3	94	31	53	94	67	19	
		Student 4	27	50	72	93	10	36	
		Student 5	44	65	15	21	50	92	
		Student 6	21	88	88	81	90	43	
		Student 7	87	49	87	83	51	86	
		Student 8	56	20	54	28	22	52	
		Student 9	66	68	88	44	24	33	
		Student 10	57	48	59	33	77	46	
		Student 11	88	58	21	89	97	38	
		Student 12	91	29	53	19	82	39	
		Student 13	76	38	32	83	15	48	
		Student 14	75	47	90	98	21	62	
		Student 15	85	36	86	12	68	36	
		Student 16	18	26	38	68	31	88	
		Student 17	13	23	37	55	72	40	
		Student 18	47	55	58	30	40	96	
		Student 19	10	77	38	81	50	43	
		Student 20	20	17	61	85	83	73	
		Student 21	35	28	29	61	29	50	
		Student 22	58	39	67	19	33	35	
		Student 23	84	97	36	76	30	95	
		Student 24	91	98	62	60	18	64	
		Student 25	51	23	98	56	63	31	
		Student 26	48	69	68	80	37	72	
		Student 27	65	92	15	14	72	97	
		Student 28	91	93	95	29	89	58	
		Student 29	45	35	84	49	23	65	
		Student 30	27	38	56	29	47	24	
		Student 31	78	11	73	47	67	59	
		Student 32	54	62	33	95	21	83	
		Student 33	94	25	63	73	40	11	
		Student 34	66	83	12	30	26	92	
		Student 35	75	63	14	47	81	17	
		Student 36	44	54	16	45	55	51	
		Student 37	20	73	43	89	19	97	
		Student 38	30	54	41	81	26	28	
		Student 39	87	15	32	20	19	63	
		Student 40	99	84	81	45	79	35	
		Student 41	48	89	99	28	41	23	
		Student 42	36	13	86	33	95	11	
		Student 43	78	18	93	24	96	72	
		Student 44	31	16	49	60	73	23	
		Student 45	80	81	62	61	25	64	
		Student 46	47	17	48	26	33	19	
		Student 47	14	43	38	71	76	69	
		Student 48	31	18	53	48	26	79	
		Student 49	92	23	66	96	83	53	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	84	44	49	82	12	91	
		Student 1	47	11	12	46	36	92	
		Student 2	61	26	39	88	25	93	
		Student 3	53	14	31	32	59	96	
		Student 4	56	66	16	59	50	98	
		Student 5	51	12	20	15	16	65	
		Student 6	69	56	31	25	89	61	
		Student 7	82	89	39	54	81	44	
		Student 8	10	16	18	91	96	34	
		Student 9	30	66	38	42	46	18	
		Student 10	77	83	83	27	67	95	
		Student 11	85	43	51	29	80	47	
		Student 12	62	41	29	60	27	60	
		Student 13	34	71	41	89	68	75	
		Student 14	42	53	29	67	58	68	
		Student 15	17	87	29	89	44	34	
		Student 16	79	92	81	89	19	19	
		Student 17	20	84	33	92	72	12	
		Student 18	60	61	71	91	49	83	
		Student 19	65	34	77	66	46	34	
		Student 20	80	51	20	17	53	39	
		Student 21	72	58	89	86	11	35	
		Student 22	56	69	11	50	19	32	
		Student 23	88	99	86	63	12	14	
		Student 24	32	55	95	17	28	46	
		Student 25	42	90	55	67	15	96	
		Student 26	90	50	24	71	52	72	
		Student 27	84	58	88	46	66	56	
		Student 28	21	43	56	67	64	14	
		Student 29	85	50	68	63	49	51	
		Student 30	48	16	65	31	88	36	
		Student 31	97	10	61	75	30	26	
		Student 32	72	79	16	63	65	58	
		Student 33	42	83	19	51	83	28	
		Student 34	13	16	83	16	47	62	
		Student 35	44	56	70	68	94	14	
		Student 36	87	78	38	71	19	30	
		Student 37	24	51	86	44	25	38	
		Student 38	33	57	80	49	53	98	
		Student 39	26	52	32	93	49	95	
		Student 40	29	80	68	68	93	45	
		Student 41	81	39	87	51	27	12	
		Student 42	39	26	27	53	89	59	
		Student 43	71	48	45	32	48	44	
		Student 44	15	23	24	75	91	54	
		Student 45	53	12	75	71	38	78	
		Student 46	46	24	12	32	90	36	
		Student 47	61	94	81	49	89	48	
		Student 48	87	94	24	95	82	98	
		Student 49	55	42	50	10	68	34	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
